"T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50"
187.86,186.251862500004,361.440000000005,193.361933599998,161.901619000001,130.551305500001,164.511645100006,173.050000000001,174.011740099999,164.540000000001,325.543255399989,149.181491799998,284.512845099997,157.461574600003,292.042920400002,184.951849499998,187.921879200004,164.331643300002,128.921289200001,228.952289499996,144.850000000005,182.121821200002,156.271562700007,1180.2218021,412.314123099999,240.412404099997,136.5813658,149.991499899999,117.541175400003,116.309999999997,105.691056899999,73.6907368999996,75.5907559000121,71.0607105999999,776.077760699999,104.421044200005,472.744727400003,229.772297700002,455.884558800002,419.924199200001,408.9340893,320.023200200003,373.193731899994,177.481774799995,189.211892100001,266.512665099995,63.5706357,84.9808498000028,44.2600000000047,75.9407593999964
187.8618786,206.122061200004,361.443614400005,220.192201899998,178.641786400001,141.971419700001,182.111821100005,173.051730500001,206.920000000001,164.541645400001,378.523785199987,187.239999999998,331.2133121,171.541715400003,342.603426000003,213.042130399999,254.810000000007,189.9818998,146.941469400001,264.152641499996,144.851448500005,200.472004700002,180.641806400009,1253.5725356,470.044700400002,266.892668899996,150.9415094,174.271742699998,128.721287200002,116.311163099997,119.631196300001,82.8508284999989,82.1808218000123,79.7807977999993,879.3,119.201192000005,542.875428700002,251.812518100002,526.695266900002,475.044750400002,472.204722,355.853558500004,429.194291899995,196.071960699995,217.862178600002,317.823178199995,72.8707286999991,95.0909509000025,44.2604426000047,86.300862999995
214.692146899999,236.402364000004,396.803968000005,262.819999999995,204.702047000003,162.891628900002,210.082100800005,199.181991800002,206.922069200002,190.821908200004,426.554265499984,187.241872399998,374.943749400001,199.331993300003,388.073880700005,234.812348099996,254.812548100007,206.322063200001,166.691666900001,290.762907599997,158.951589500005,227.662276600002,198.191981900008,1486.0248601,539.275392700002,290.432904299995,164.0816408,195.301952999997,144.921449200001,132.141321399999,132.931329300003,92.7409273999989,91.2809128000146,89.0008900000018,879.308793,132.891328900006,618.816188100002,270.422704200002,591.755917500001,524.6752467,525.435254300001,398.503985000003,473.094730899993,211.422114199995,233.012330100002,361.723617199995,80.3408033999997,107.731077300001,49.5500000000066,95.7899999999936
243.862438599998,268.622686200005,459.674596700006,262.822628199995,226.812268100004,182.341823400003,234.892348900008,226.5922659,239.392393900003,212.052120500004,484.444844399983,214.742147399996,424.8442484,225.232252300002,427.394273900005,264.582645799996,287.562875600006,234.572345700001,179.841798400001,319.9131991,185.041850400007,258.022580200001,225.492254900008,1754.6275461,608.466084600002,315.253152499994,190.7519075,215.632156299996,163.581635800003,146.5614656,149.110000000003,101.651016499998,100.011000100016,99.2809928000007,912.3191231,149.841498400006,709.117091100002,307.393073900002,677.506775000002,548.555485500001,590.325903200004,448.194481900003,531.095310899995,238.282382799994,257.702577000003,404.474044699993,92.9309293000001,119.290000000001,49.5504955000066,95.7909578999936
266.922669199997,293.682936800005,529.355293500005,298.982989799995,254.552545500003,204.792047900002,264.650000000008,246.4824648,264.612646100001,239.840000000005,523.125231199985,240.302402999996,457.414574100001,245.342453400003,461.384613800006,288.522885199995,324.483244800005,257.6125761,197.111971100001,360.893608899999,203.822038200009,291.072910700001,246.902469000009,1981.6998168,646.490000000005,346.203461999996,210.962109600001,234.792347899994,180.581805800003,161.6916169,149.111491100003,112.831128299999,109.821098200022,109.411094100001,1034.7903478,163.281632800007,799.187991800002,356.293562900002,761.087610800005,613.896138899998,630.036300300003,487.1448714,567.009999999995,273.102730999994,282.332823300004,458.259999999986,104.6410464,119.291192900001,55.3405534000067,106.461064599994
291.282912799998,320.093200900006,579.055790500004,337.123371199992,282.0328203,220.062200600002,264.652646500008,271.432714300002,299.042990400003,239.842398400005,574.495744899981,268.822688199995,500.825008199997,268.5126851,509.685096800009,315.949999999994,351.233512300006,284.7528475,217.8221782,400.444004400002,225.532255300008,313.593135900001,274.362743600009,2240.7324071,646.496464900005,417.404173999992,233.392333900003,260.432604299992,196.581965800004,177.901778999999,163.990000000003,123.359999999999,121.411214100022,120.541205400002,1090.7209071,181.161811600008,848.540000000004,396.630000000002,807.548075400005,653.856538499995,738.797387900003,541.5854158,567.015670099995,302.233022299993,314.403144000004,458.264582599986,112.2511225,129.651296500003,60.6406064000039,115.931159299993
320.203201999997,352.013520100008,628.346283400004,366.483664799993,306.143061400001,242.892428900004,285.922859200007,298.312983100005,325.313253100004,260.962609600004,636.226362199981,289.392893899994,553.995539899997,296.782967799999,559.735597300008,315.953159499995,391.133911300006,312.963129599998,239.012390099998,435.174351700001,252.822528200007,345.763457600002,301.283012800009,2354.3535433,712.527125200004,444.054440499992,261.602616000007,293.462934599992,217.962179599999,196.301962999998,163.991639900003,123.361233599999,133.541335400024,133.801338,1269.5526954,197.551975500007,848.548485400004,396.633966300002,958.849588400005,778.827788199998,798.757987500004,644.066440599997,622.266222599995,328.623286199995,340.813408100006,492.724927199986,120.44,142.171421699999,67.060670600003,127.271272699994
354.783547799997,389.593895900008,692.636926300003,407.664076599993,340.163401600002,265.052650500004,314.453144500006,329.743297400006,359.213592100004,287.00287,692.386923799982,317.803177999991,603.756037499998,330.0933009,609.640000000007,346.623466199995,429.194291900009,341.663416599998,258.052580499998,467.974679700001,279.652796500007,380.613806100001,327.933279300006,2614.3061428,835.428354199999,475.674756699993,282.322823200009,320.169999999993,240.172401699998,216.612166099998,181.591815900006,135.641356399998,141.871418700023,146.171461700001,1386.5038649,215.190000000006,993.799937900009,426.474264700001,1039.10039090001,839.568395599998,857.088570800005,690.456904499997,719.777197699992,365.383653799996,366.943669400005,543.295432899986,120.4412044,157.501574999999,74.0607406000019,140.461404599993
388.633886299999,426.934269300008,757.057570500004,446.564465599991,367.553675500001,297.880000000004,346.453464500005,361.093610900004,391.670000000003,320.6632066,748.717487099982,353.533535299993,651.126511199996,363.4236342,609.646096400008,378.083780799995,473.234732300009,362.633626299998,278.292782899997,507.335073300001,310.023100200006,415.824158200002,353.593535900006,2954.31,898.028980199999,507.70999999999,306.713067100009,320.173201699993,257.332573299999,234.752347499998,202.922029200005,144.961449599998,154.061540600025,155.7715577,1633.15,215.192151900006,1079.03079020001,475.504754999999,1118.4011839,900.169001599999,908.490000000004,742.559999999998,773.187731799991,425.169999999997,399.313993100004,585.845858399987,NA,174.041740400001,81.6108161000005,154.021540199994
418.5141851,459.594595900007,822.038220300003,495.194951899991,401.530000000002,297.882978800004,379.213792100004,389.183891800005,391.673916700003,351.853518499999,802.59802589998,388.943889399992,708.83999999999,391.0239102,659.326593200008,409.114091099995,517.39517390001,389.533895299998,293.252932499997,570.925709200007,339.993399900006,449.574495700002,373.823738200006,2954.3395431,947.009999999998,507.71507709999,349.89349890001,342.693426899993,276.602765999998,249.762497599998,220.720000000004,158.551585499997,164.261642600022,168.611686099998,1633.1663315,237.382373800007,1146.06000000001,522.315223099999,1179.91000000001,1068.3306832,908.499084900004,742.567425599998,821.759999999989,425.174251699997,427.374273700003,641.976419699988,NA,192.371923700001,89.6108961000006,164.329999999994
452.879999999997,502.730000000001,892.608926000003,543.605435999989,401.534015300002,325.630000000003,410.414104100005,417.534175300003,425.394253900002,381.043810399999,872.178721699982,418.004179999992,708.84708839999,428.3242832,703.707037000009,432.574325699994,557.655576500009,419.044190399999,325.153251499999,602.306023000007,368.253682500007,487.8748787,411.484114800003,3109.8,947.019470099998,535.42535419999,374.60374600001,366.279999999993,307.259999999996,275.652756500002,220.722207200004,170.931709299996,173.591735900022,177.961779599998,1750.0675005,253.472534700007,1146.07146060001,600.146001399998,1179.92179910001,1118.22,953.019530100004,785.677856699998,821.768217599989,457.684576799996,487.444874400002,677.446774399987,NA,203.182031800002,95.6709567000036,164.331643299994
452.884528799997,502.735027300001,977.689776799999,584.925849199989,436.344363400002,325.633256300003,442.580000000008,454.924549200005,460.534605300003,409.849999999997,966.769999999981,457.654576499993,754.867548599991,480.909999999998,781.78781780001,460.319999999997,627.03000000001,457.474574699999,340.543405399998,633.076330700006,399.18399180001,524.635246299999,431.714317100005,3109.831098,988.729999999999,634.98634979999,401.970000000012,366.283662799993,307.263072599996,310.060000000002,235.872358700004,181.971819699996,184.46184460002,192.681926799997,1917.9391792,269.142691400007,1336.03336020001,640.169999999998,1233.16,1118.2311822,1099.95099940001,830.689999999998,864.48999999999,492.959999999998,519.255192500004,742.507424999988,NA,215.172151699998,101.161011600004,175.261752599996
480.294802899997,534.075340700001,1036.0503604,629.039999999987,485.194851900004,353.780000000004,442.584425800008,475.674756700005,495.134951300002,409.854098499997,966.779667699981,478.714787099993,836.058360499989,480.914809099998,822.438224300008,460.324603199997,627.03627030001,476.1147611,384.209999999997,659.516595100005,418.97418970001,572.925729199999,452.904529000005,3251.4025137,988.739887299999,699.556995499988,401.974019700012,408.839999999991,326.063260599995,310.063100600002,255.270000000006,197.011970099995,199.700000000017,202.932029299996,2050.720507,285.732857300008,1395.87395860001,640.176401699998,1233.1723316,1235.0723506,1169.2016919,830.698306899998,864.49864489999,492.964929599998,603.270000000005,791.897918899987,NA,226.712267099999,107.321073200002,190.351903499996
525.139999999997,590.27,1092.6809267,629.046290399987,508.685086800004,353.783537800004,469.824698200008,495.654956500008,528.755287499999,432.664326599998,1014.50014489998,509.845098399991,891.428914199989,503.605035999997,929.620000000011,484.664846599996,656.836568300011,495.074950700001,384.213842099997,746.060000000004,463.180000000008,598.105981000001,505.900000000003,3517.8751784,1103.1610315,769.587695799989,NA,408.844088399991,347.073470699997,327.613276100001,255.272552700006,208.342083400001,199.701997000017,216.832168299994,2129.56,316.180000000008,1480.20480190001,675.766757599997,1371.9837197,1278.8827887,1268.5526854,NA,NA,523.579999999998,603.276032700005,845.338453299989,NA,240.0224002,113.251132500003,202.482024799996
525.145251399998,590.2759027,1199.26,673.006729999986,531.665316600009,370.703707000003,513.880000000007,522.58522580001,555.765557599999,473.354733499999,1071.41071399998,560.919999999992,929.329293199993,531.345313399997,929.629296200011,521.435214299993,683.766837600011,548.790000000003,NA,746.067460600005,463.184631800009,623.366233600003,505.905059000003,3940.62,1168.63168619999,803.988039799991,NA,431.19431189999,387.889999999999,347.183471799999,NA,222.972229700002,208.232082300018,226.742267399993,2129.5812956,316.183161800008,1611.72611710001,720.207201999997,1452.7645275,1406.8640685,1377.6037759,NA,NA,523.585235799998,642.886428800003,889.968899599987,NA,252.542525400001,121.631216300002,213.259999999997
550.425504199997,NA,1199.2719926,706.007059999987,566.035660300011,402.674026700004,513.885138800007,548.055480500011,600.319999999997,499.784997799998,1137.78137769998,560.925609199992,978.259782499993,553.445534399995,974.919749100011,547.535475299991,719.65719650001,548.795487900003,NA,NA,482.714827100005,657.686576800005,525.615256100003,3940.6594062,1340.86340849999,832.308322999992,NA,455.704556999988,387.893878899999,368.303682999999,NA,232.712327100002,217.902179000018,235.652356499993,2196.4319641,335.593355900006,1696.81696800002,822.978229699999,1650.9465093,1471.7347172,1433.5343352,NA,NA,556.615566099998,696.126961200004,932.979329699987,NA,270.052700500002,126.201262000003,213.262132599997
582.325823199998,NA,1251.7625175,762.05999999999,594.875948700012,451.320000000004,536.735367300009,569.475694700011,600.326003199997,520.345203399998,1183.75183739998,581.335813299991,1015.82015809999,589.565895599993,1048.79048780001,571.425714199991,810.22000000001,NA,NA,NA,506.805068000005,694.986949800006,561.875618700004,4241.4024136,1464.71464699999,863.84999999999,NA,484.234842299988,414.4841448,390.703907,NA,246.022460200003,231.000000000018,246.562465599992,2378.6037858,357.123571200005,1840.40840390002,868.758687499998,1800.8980088,1528.615286,1486.1648615,NA,NA,638.699999999999,753.827538200004,982.459824499987,NA,279.202791999999,132.6213262,224.442244399994
605.716057099997,NA,1330.4233041,762.06762059999,632.316323100011,451.324513200004,559.565595600006,603.396033900012,631.216312099995,547.585475799996,1254.30254289998,618.896188899991,1075.56075549999,628.006279999995,1088.93088920001,592.585925799988,810.22810220001,NA,NA,NA,536.285362800007,720.147201400006,593.995939900001,4535.7253568,1521.99521979999,863.85863849999,NA,516.345163399989,437.25,407.104070999999,NA,257.122571200003,231.002310000018,259.152591499992,2483.9748395,375.740000000004,1916.85916840002,941.159411499999,1873.8587384,1649.616496,1557.4655745,NA,NA,638.706386999999,786.097860900003,1032.04999999999,NA,293.902939,137.7513775,232.972329699992
639.696396899998,NA,1387.4938748,791.777917699986,655.666556600011,NA,590.255902500007,631.940000000012,656.096560899995,571.315713099997,1331.88331869998,640.286402799991,1141.00140989999,667.536675299993,1167.79167780001,620.906208999988,876.03876030001,NA,NA,NA,556.955569500007,758.967589600005,631.836318300001,4813.7581371,1570.76570749999,NA,NA,543.495434899989,437.2543725,431.644316399999,NA,266.922669200003,243.062430600018,270.792707899993,2659.3765935,375.743757400004,1982.13982120002,1021.4702146,1933.7293371,1774.4277441,1634.0063399,NA,NA,691.7469174,825.0582505,1032.06032049999,NA,304.380000000001,143.3414334,245.072450699992
666.446664399998,NA,1472.8847287,833.968339599989,692.680000000012,NA,613.686136800006,631.946319400012,696.186961799994,600.206001999996,1396.55396539998,681.08681079999,1192.33192319999,688.836888299994,1238.62238610001,655.339999999989,906.06906060001,NA,NA,NA,588.075880700006,792.667926600005,661.516615100002,5134.5613451,1686.0368602,NA,NA,564.085640799989,454.3645436,454.494544899999,NA,278.442784400004,253.522535200021,283.852838499993,2826.3482632,390.603906000004,2102.23102210002,1061.2706126,2079.19079170001,1825.62,1737.1573714,NA,NA,727.567275599999,854.2785427,1092.25092239999,NA,304.383043800001,150.801507999999,254.652546499992
704.857048499999,NA,1554.2955428,866.328663199988,692.686926800012,NA,646.796467900008,659.826598200014,723.867238599994,638.656386499995,1481.08481069998,720.33720329999,1263.25263239999,718.627186199991,1292.76292750001,655.346553399989,978.21978210001,NA,NA,NA,624.536245300005,830.628306200005,694.726947200002,5295.57295519999,1805.29805279999,NA,NA,595.169999999986,483.774837700001,475.984759799998,NA,292.052920500003,264.772647700021,294.9629496,3002.00001969999,409.924099200006,2375.07375050001,1103.5410353,2226.94226920001,1825.6382562,1842.518425,NA,NA,785.417854099999,888.648886400001,1159.17159159999,NA,315.130000000001,157.551575499998,264.852648499992
735.5773557,NA,1625.9362592,911.369113599989,721.587215800013,NA,682.846828400005,694.476944700014,757.397573899994,671.256712499995,1539.04539029998,750.097500899989,1307.95307939999,749.527495199991,1358.43358420001,691.826918199989,1030.05030040001,NA,NA,NA,652.326523200005,871.458714500006,723.457234500009,5642.22642169999,1895.418954,NA,NA,595.175951699987,507.735077299999,500.405003999998,NA,306.913069100002,274.71274710002,311.433114299996,3076.87076839999,429.774297700007,2508.55508530002,1167.5016749,2338.6433862,1897.9989798,2017.2901727,NA,NA,820.528205199999,928.6192861,1234.36999999999,NA,315.133151300001,165.241652399999,277.572775699994
776.217762100001,NA,1712.4871247,963.879638699991,761.117611100014,NA,713.097130900008,729.507295000013,795.677956699994,711.757117499995,1592.77592759998,782.96782959999,1369.19369179999,805.39805389999,1420.39420380001,718.937189299989,1071.74071730001,NA,NA,NA,690.056900500004,912.539125300005,757.277572700006,6002.0400198,1971.3297131,NA,NA,625.226252199986,530.235302299999,519.805198000001,NA,318.143181400005,288.502885000022,325.523255199994,3224.532245,449.224492200008,2650.28650260001,1221.08221069999,2430.8843086,2082.5808256,2129.221292,NA,NA,850.418504099999,973.629736199999,1234.38234369999,NA,330.103301000002,173.621736199998,291.262912599994
805.178051700001,NA,1798.3879837,1005.65005639999,812.010000000014,NA,740.477404700008,755.847558400013,835.708356999996,751.397513899994,1676.15676139998,822.788227799989,1455.81999999999,835.158351499991,1497.01497000001,748.847488399987,1130.96130950001,NA,NA,NA,714.767147600004,963.209632000002,787.397873900006,6497.60497539999,2098.5109849,NA,NA,655.046550399987,554.855548499998,558.949999999997,NA,332.553325500005,301.713017100019,335.423354199994,3482.2548222,469.414694100008,2785.75785730001,1295.05295039999,2582.08582060001,2148.5314851,2205.3020528,NA,NA,904.959049499998,1028.2002819,1299.96299949999,NA,343.943439400001,178.681786799999,303.513035099993
841.418414100001,NA,1856.9385692,1059.75059739999,812.018120100014,NA,778.317783100007,792.29792290001,875.608755999996,779.797797899993,1776.58999999999,858.398583899989,1455.83455819999,875.678756699992,1573.89573880001,781.707816999987,1169.54169530001,NA,NA,NA,763.227632200004,992.369923600004,820.958209500007,6805.63805569999,2285.9128589,NA,NA,702.569999999986,582.455824499998,558.955589499997,NA,349.190000000008,313.993139900019,349.173491699994,3746.9774694,490.954909500007,2931.49931470001,1370.1937018,2791.95791930001,2277.8727785,2357.5335751,NA,NA,952.479524699998,1085.4508544,1371.81999999999,NA,359.7635976,185.841858399999,317.653176499993
881.638816300003,NA,1927.4092739,1105.63105619999,840.348403400013,NA,816.228162200007,831.680000000014,915.969159599995,823.899999999994,1776.60776589999,898.818988099991,NA,917.409173999993,1658.27658260001,822.279999999987,1224.12224110001,NA,NA,NA,785.847858400002,1020.610206,842.368423600006,7120.44120369999,2368.7036868,NA,NA,702.577025699986,609.2160921,NA,NA,349.193491900008,326.62326620002,361.823618199993,3930.7993076,524.365243600011,3129.79129760001,1440.0844007,2911.91911890001,2453.2345321,2441.1844116,NA,NA,1009.98009969999,1128.6212861,1371.83371819999,NA,376.733767300002,191.691916899999,331.953319499992
932.570000000004,NA,1997.1799716,1155.83155819999,879.568795600013,NA,849.278492700006,831.688316800014,962.909628999997,823.908238999994,1848.20848189998,930.439304299991,NA,958.549585399993,1774.19000000002,822.288222799987,1281.81281800001,NA,NA,NA,823.548235400002,1059.4205941,900.319003100009,7472.86472789999,2459.2145919,NA,NA,735.087350799986,653.746537399997,NA,NA,359.213592100007,337.43337430002,373.523735199993,4109.641096,544.815448100008,3259.87259840001,1522.0252201,3124.45124420001,2524.7952477,2518.7751875,NA,NA,1050.90050889999,1189.411894,NA,NA,392.323923200001,198.091980899995,341.223412199991
932.579325700005,NA,2119.39,1209.35209339999,930.269302600014,NA,896.380000000007,862.218622100017,998.259982499997,858.678586699994,1946.04946029998,990.039999999989,NA,1013.31013299999,1774.20774190002,842.908428999987,1326.95326940001,NA,NA,NA,845.218452100002,1109.47,938.349383400007,7909.26999999999,2637.5163749,NA,NA,766.717667099988,680.266802599996,NA,NA,375.443754400008,354.183541800021,389.869999999992,4295.7729573,576.755767500009,3396.30396270001,1649.1364912,3252.69252660001,2602.7660274,2668.7966877,NA,NA,1111.92111909999,1271.7527174,NA,NA,402.144021400003,205.702056999994,355.973559699991
980.569805600006,NA,2119.4111939,1244.17244159999,959.149591400014,NA,896.388963800007,883.288832800018,1044.0704406,880.198801899997,2026.41026389998,990.049900399989,NA,1046.81046799999,1846.16846150002,881.558815499988,1399.25399240001,NA,NA,NA,877.328773200001,1109.4810947,963.509635000008,7909.34909269999,2719.1571913,NA,NA,800.948009399988,708.757087499992,NA,NA,389.023890200008,370.393703900023,389.873898699992,4471.6747163,599.60599600001,3525.33525300001,1723.6972368,3372.40372370001,2776.927769,2714.9871496,NA,NA,1198.63999999999,1357.46999999999,NA,NA,413.184131800002,213.822138199994,366.363663599991
1006.7800677,NA,2199.7719975,1303.09999999999,998.779987700015,NA,922.179221700006,903.559035500021,1069.2806927,902.129021199994,2074.17074149998,1021.37021359999,NA,1086.97086959999,1957.94957930002,917.619176099988,1454.30454290001,NA,NA,NA,910.319103100002,1144.1414413,1018.43018420001,8279.18279099999,2761.8576183,NA,NA,846.868468599987,752.357523499991,NA,NA,401.654016500007,382.593825900023,NA,4734.9373489,620.326203200009,3717.65717620001,1833.81833799999,3459.73459700001,2850.1985017,2780.3678034,NA,NA,1198.65198639999,1357.48357469999,NA,NA,428.864288600003,220.922209199994,378.363783599992
1042.1904218,NA,2289.722897,1303.11303099999,1025.37025360002,NA,958.859588500007,942.630000000023,1104.30104289999,945.069450599994,2134.68134659998,1060.85060839999,NA,1114.72114709999,1998.44998430002,946.459464499988,1553.62000000001,NA,NA,NA,946.099460899999,1181.59181579999,1049.59049580001,8604.33604249999,2829.6982967,NA,NA,882.229999999989,783.867838599989,NA,NA,413.404134000006,394.173941700024,NA,4859.7985975,637.676376700009,3775.11775080001,1868.61868599999,3511.23511200001,2917.9891796,2820.5382051,NA,NA,NA,NA,NA,NA,445.274452700001,228.802287999987,392.333923299991
